Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],640713,178979,1942,770531,42992,[13181],[12240],[4306],,187,220,8,True,True
european union,1.0,5,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8962712,22882247,1036,276165,49796,"[15818, 3950, 1831, 188, 75, 4]","[5870, 131, 550, 47, 11, 1]","[3538, 283, 344, 77, 28, 1]","[105, 143, 42, 21, 5, 0]",48,103,85,True,True
data.gov,1.0,5,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",8962712,22882247,1036,276165,198976,"[19312, 17653, 41777, 41451, 39352, 18191, 1820]","[2830, 280, 468, 673, 575, 160, 5]","[2410, 175, 77, 103, 65, 23, 1]","[58, 241, 631, 266, 134, 17, 0]",29,98,34,True,True
TPCH_1,1.0,5,1,8,61,96,0,[61],[3660],[96],8962712,22882247,1036,276165,45849,[22351],[6905],[4042],,19,19,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3602369,4588508,1165,371852,47925,"[14756, 2675, 1951, 192, 90, 2]","[5622, 130, 620, 40, 8, 0]","[3341, 346, 330, 94, 32, 9]","[105, 130, 182, 29, 5, 0]",66,132,85,True,True
data.gov,1.0,9,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",3602369,4588508,1165,371852,142806,"[11678, 12440, 28730, 30670, 26300, 10773, 1464]","[3402, 492, 783, 995, 798, 190, 2]","[2579, 213, 77, 86, 60, 24, 5]","[66, 230, 502, 243, 118, 16, 1]",52,205,34,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],3602369,4588508,1165,371852,40887,[15252],[8690],[4660],,38,38,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12911900,28517306,1184,257094,52087,"[17073, 4814, 1869, 176, 89, 4]","[5552, 130, 571, 39, 10, 1]","[3377, 286, 354, 90, 29, 6]","[94, 135, 51, 27, 7, 1]",44,96,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",12911900,28517306,1184,257094,218078,"[18102, 20968, 44120, 49205, 44203, 21104, 2419]","[2643, 211, 359, 510, 471, 129, 1]","[2607, 165, 91, 88, 82, 26, 5]","[57, 225, 429, 298, 126, 12, 0]",23,70,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],12911900,28517306,1184,257094,47192,[24243],[6107],[4387],,16,16,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11359016,16670249,742,989547,48123,"[15118, 3245, 1818, 199, 86, 4]","[5588, 134, 648, 41, 10, 1]","[3505, 284, 375, 90, 29, 5]","[93, 138, 44, 24, 5, 1]",44,96,85,True,True
data.gov,1.0,8,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",11359016,16670249,742,989547,197293,"[17531, 13965, 41535, 46340, 38151, 19251, 2154]","[2816, 243, 427, 603, 551, 148, 1]","[2477, 151, 83, 86, 67, 23, 5]","[57, 222, 601, 244, 103, 12, 0]",26,84,34,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],11359016,16670249,742,989547,43817,[20483],[6364],[4292],,17,17,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13783025,38019440,1479,456943,53352,"[18487, 5256, 1927, 169, 99, 5]","[5366, 141, 597, 38, 11, 2]","[3380, 270, 405, 88, 35, 7]","[93, 126, 47, 27, 8, 1]",44,96,85,True,True
data.gov,1.0,3,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",13783025,38019440,1479,456943,243518,"[21787, 25505, 52332, 53440, 46890, 22403, 2599]","[2563, 204, 392, 530, 488, 135, 1]","[2718, 157, 99, 109, 87, 26, 5]","[58, 242, 573, 444, 168, 16, 0]",23,70,34,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],13783025,38019440,1479,456943,50065,[27412],[5766],[4407],,14,14,8,True,True
european union,1.0,12,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11103010,27669187,56,855048,47058,"[13818, 2843, 1884, 170, 78, 1]","[5531, 128, 595, 31, 20, 0]","[3655, 276, 341, 88, 34, 8]","[115, 134, 187, 22, 6, 0]",46,100,90,True,True
data.gov,1.0,12,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",11103010,27669187,56,855048,200385,"[15085, 15252, 40072, 45981, 39358, 21266, 2099]","[3854, 302, 550, 792, 744, 204, 2]","[3101, 205, 75, 87, 63, 23, 4]","[57, 244, 471, 279, 105, 15, 0]",27,86,51,True,True
TPCH_1,1.0,12,1,8,61,96,0,[61],[3660],[96],11103010,27669187,56,855048,51705,[26739],[7824],[4636],,17,17,11,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14826113,13039079,615,626886,48436,"[14230, 3515, 1945, 174, 83, 0]","[5574, 129, 638, 40, 9, 0]","[3464, 294, 302, 93, 34, 11]","[102, 149, 42, 28, 6, 0]",43,95,85,True,True
data.gov,1.0,9,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",14826113,13039079,615,626886,226784,"[14891, 18101, 51822, 54182, 43618, 22466, 3028]","[2985, 200, 392, 534, 480, 130, 0]","[2568, 147, 71, 89, 70, 27, 6]","[55, 229, 461, 340, 146, 13, 0]",22,65,34,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],14826113,13039079,615,626886,54388,[29746],[7080],[4768],,14,14,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8951615,39123138,911,673590,54691,"[18915, 5843, 1933, 240, 86, 4]","[5276, 218, 569, 54, 9, 1]","[3452, 315, 432, 110, 32, 5]","[91, 132, 199, 28, 9, 0]",48,103,85,True,True
